MethodFullyQualifiedName,ReleaseID,LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalChurn,MaxChurn,AvgChurn,NFix,IsBuggy
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/putHandle(LedgerDescriptor),1,3,1,0,0,0,0,1,1,3,3,3,3.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getHandle(long, boolean, byte[])",1,31,3,4,4,0,4,2,2,31,31,17,15.5000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getHandle(long, boolean)",1,28,2,3,3,0,3,2,2,28,28,15,14.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/createHandle(long, boolean)",1,1,2,0,0,0,0,1,1,1,1,1,1.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/setLastLogMark(long, long)",1,2,2,0,0,0,0,1,1,2,2,2,2.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/markLog(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/rollLog(),1,18,0,3,3,1,5,2,2,18,18,15,9.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/readLog(),1,21,0,4,4,1,7,2,2,21,21,21,10.5000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/toString(),1,4,0,0,0,0,1,1,1,4,4,4,4.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getLastLogMark(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/isRunning(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/openChannel(long),1,1,1,0,0,0,0,2,2,4,7,4,3.5000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/openChannel(long, long)",1,9,2,1,2,0,1,2,1,9,9,9,4.5000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/getLedgerForEntry(ByteBuffer, byte[])",1,7,2,1,1,0,2,1,1,7,7,7,7.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/addEntryInternal(LedgerDescriptor, ByteBuffer, WriteCallback, Object)",1,8,4,1,1,0,2,1,1,8,8,8,8.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/recoveryAddEntry(ByteBuffer, WriteCallback, Object, byte[])",1,8,4,0,1,0,1,1,1,8,8,8,8.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/addEntry(ByteBuffer, WriteCallback, Object, byte[])",1,12,4,1,2,0,1,2,2,16,20,16,10.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/fenceLedger(long),1,4,1,0,0,0,1,1,1,4,4,4,4.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/readEntry(long, long)",1,9,2,1,2,0,1,1,1,9,9,9,9.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/writeComplete(int, long, long, InetSocketAddress, Object)",1,4,5,1,1,0,0,1,1,4,4,4,4.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/incCount(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/waitZero(),1,3,0,1,1,0,0,1,1,3,3,3,3.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/main(String[]),1,15,1,1,1,1,6,2,2,15,15,15,7.5000,0,yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/create(int),1,8,1,3,1,0,0,2,2,8,8,6,4.0000,0,yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/setCode(int),1,1,1,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/getCode(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/getMessage(int),1,10,1,4,1,0,0,2,2,10,10,8,5.0000,0,yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/getFileChannel(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/write(ByteBuffer),1,22,1,4,2,0,2,1,1,22,22,22,22.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/position(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/size(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/flush(boolean),1,12,1,2,1,0,0,1,1,12,12,12,12.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/read(ByteBuffer, long)",1,57,2,12,6,3,7,2,1,57,57,54,28.5000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/run(),1,21,0,3,3,0,0,5,3,110,199,102,39.8000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/doGcLedgers(),1,11,0,1,2,0,0,1,1,11,11,11,11.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/gc(long),1,5,1,1,2,0,0,1,1,5,5,5,5.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/doGcEntryLogs(),1,33,0,7,5,1,5,1,1,33,33,33,33.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/createLogId(long),1,13,1,2,1,1,3,1,1,13,13,13,13.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/setLastLogId(File, long)",1,12,2,1,3,1,2,1,1,12,12,12,12.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/getLastLogId(File),1,20,1,4,3,1,3,1,1,20,20,20,20.0000,0,yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/openNewChannel(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/flush(),1,3,0,1,1,0,0,1,1,3,3,3,3.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/addEntry(long, ByteBuffer)",1,11,2,1,1,1,2,2,2,11,11,11,5.5000,0,yes
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/readEntry(long, long, long)",1,38,3,6,2,1,11,1,1,38,38,38,38.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/getChannelForLogId(long),1,17,1,2,1,1,3,1,1,17,17,17,17.0000,0,yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/findFile(long),1,7,1,2,2,0,2,1,1,7,7,7,7.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/testAndClearSomethingWritten(),1,5,0,0,1,0,0,1,1,5,5,5,5.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/extractLedgersFromEntryLogs(),1,59,0,9,4,2,10,2,2,59,59,54,29.5000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/shutdown(),1,9,0,1,2,0,0,3,2,9,9,6,3.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/writeMasterKey(byte[]),1,11,1,1,1,1,2,1,1,11,11,11,11.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/readMasterKey(),1,16,0,3,1,1,4,1,1,16,16,16,16.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/size(),1,5,0,1,1,0,1,1,1,5,5,5,5.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/read(ByteBuffer, long)",1,1,2,0,0,0,0,2,2,9,17,9,8.5000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/readAbsolute(ByteBuffer, long)",1,11,2,2,2,0,2,1,1,11,11,11,11.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/close(),1,4,0,1,1,0,0,1,1,4,4,4,4.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/write(ByteBuffer[], long)",1,17,2,3,3,0,3,1,1,17,17,17,17.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/use(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/release(),1,8,0,2,3,0,0,2,2,8,8,8,4.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/getFile(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getPageSize(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getEntriesPerPage(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/putIntoTable(HashMap, LedgerEntryPage)",1,6,2,1,1,0,1,1,1,6,6,6,6.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getFromTable(HashMap, Long, Long)",1,5,3,1,1,0,1,1,1,5,5,5,5.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getLedgerEntryPage(Long, Long, boolean)",1,11,3,2,2,0,1,1,1,11,11,11,11.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/putEntryOffset(long, long, long)",1,16,3,2,1,1,3,2,2,16,16,16,8.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getEntryOffset(long, long)",1,18,2,2,2,1,3,2,2,18,18,18,9.0000,0,yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getLedgerName(long),1,10,1,0,0,1,3,1,1,10,10,10,10.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/checkParents(File),1,7,1,2,1,0,1,1,1,7,7,7,7.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/pickDirs(File[]),1,1,1,0,0,0,0,1,1,1,1,1,1.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getFileInfo(Long, boolean)",1,38,2,8,3,0,5,3,2,38,38,38,12.6667,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/updatePage(LedgerEntryPage),1,17,1,3,2,1,2,1,1,17,17,17,17.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/flushLedger(boolean),1,98,1,20,5,3,18,2,2,97,97,97,48.5000,0,yes
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/compare(LedgerEntryPage, LedgerEntryPage)",1,1,2,0,0,0,0,1,1,1,1,1,1.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/writeBuffers(Long, List, FileInfo, int, int)",1,26,5,7,2,1,4,2,2,26,26,26,13.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/grabCleanPage(long, long)",1,53,2,9,3,1,6,3,3,53,53,53,17.6667,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getLastEntry(long),1,18,1,4,3,0,4,2,2,18,18,18,9.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getActiveLedgers(),1,19,0,7,7,2,5,2,2,22,25,22,12.5000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/deleteLedger(long),1,21,1,1,1,0,1,2,2,21,21,21,10.5000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/setMasterKey(ByteBuffer),1,1,1,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/cmpMasterKey(ByteBuffer),1,1,1,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/getLedgerId(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/incRef(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/decRef(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/getRefCnt(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/setFenced(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/isFenced(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/addEntry(ByteBuffer),1,9,1,1,1,0,3,1,1,9,9,9,9.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/readEntry(long),1,38,1,8,6,2,8,2,2,38,38,38,19.0000,0,yes
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/close(),1,0,0,0,0,0,0,1,1,0,0,0,0.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/toString(),1,7,0,1,1,0,1,1,1,7,7,7,7.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/usePage(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/pin(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/unpin(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/isPinned(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/releasePage(),1,4,0,1,1,0,0,1,1,4,4,4,4.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/checkPage(),1,3,0,1,1,0,0,1,1,3,3,3,3.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/equals(Object),1,2,1,0,0,0,1,1,1,2,2,2,2.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/hashCode(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/setClean(int),1,1,1,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/isClean(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/setOffset(long, int)",1,4,2,0,0,0,0,1,1,4,4,4,4.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getOffset(int),1,2,1,0,0,0,0,1,1,2,2,2,2.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/zeroPage(),1,4,0,0,0,0,0,1,1,4,4,4,4.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/readPage(FileInfo),1,8,1,2,2,1,0,1,1,8,8,8,8.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getPageToWrite(),1,3,0,0,0,0,0,1,1,3,3,3,3.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/setLedger(long),1,1,1,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getLedger(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getVersion(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/setFirstEntry(long),1,4,1,1,1,0,0,2,2,4,4,4,2.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getFirstEntry(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/inUse(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getLastEntry(),1,6,0,2,2,1,1,2,2,6,6,6,3.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/force(boolean),1,0,1,0,0,0,0,1,1,0,0,0,0.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/lock(long, long, boolean)",1,1,3,0,0,0,0,1,1,1,1,1,1.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/map(MapMode, long, long)",1,1,3,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/position(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/position(long),1,1,1,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/read(ByteBuffer),1,1,1,0,0,0,0,1,1,1,1,1,1.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/read(ByteBuffer, long)",1,1,2,0,0,0,0,1,1,1,1,1,1.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/read(ByteBuffer[], int, int)",1,1,3,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/size(),1,1,0,0,0,0,0,1,1,1,1,1,1.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/transferFrom(ReadableByteChannel, long, long)",1,1,3,0,0,0,0,1,1,1,1,1,1.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/transferTo(long, long, WritableByteChannel)",1,1,3,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/truncate(long),1,1,1,0,0,0,0,1,1,1,1,1,1.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/tryLock(long, long, boolean)",1,1,3,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/write(ByteBuffer),1,1,1,0,0,0,0,1,1,1,1,1,1.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/write(ByteBuffer, long)",1,1,2,0,0,0,0,1,1,1,1,1,1.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/write(ByteBuffer[], int, int)",1,1,3,0,0,0,0,1,1,1,1,1,1.0000,0,no
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/implCloseChannel(),1,0,0,0,0,0,0,1,1,0,0,0,0.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java/addComplete(int, LedgerHandle, long, Object)",1,0,4,0,0,0,0,1,1,0,0,0,0.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java/closeComplete(int, LedgerHandle, Object)",1,0,3,0,0,0,0,1,1,0,0,0,0.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java/createComplete(int, LedgerHandle, Object)",1,0,3,0,0,0,0,1,1,0,0,0,0.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java/openComplete(int, LedgerHandle, Object)",1,0,3,0,0,0,0,1,1,0,0,0,0.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java/readComplete(int, LedgerHandle, Enumeration, Object)",1,0,4,0,0,0,0,1,1,0,0,0,0.0000,0,no
"bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java/deleteComplete(int, Object)",1,0,2,0,0,0,0,1,1,0,0,0,0.0000,0,no
