fullyQualifiedName,firstCommit,#Commits
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/writeComplete(int, long, long, InetSocketAddress, Object)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/incCount(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/waitZero(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/main(String[]),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/create(int),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/setCode(int),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/getCode(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/getMessage(int),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/getFileChannel(),commit 304bf8fe61bd545072d09c7089d8b92fc3c2f1d3 1321520376 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/write(ByteBuffer),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/position(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/size(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/flush(boolean),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/read(ByteBuffer, long)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/run(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,5
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/doGcLedgers(),commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/gc(long),commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/doGcEntryLogs(),commit 3af9f38fc3b53c40751904972384ecb9a4e9fb44 1322504718 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/createLogId(long),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/setLastLogId(File, long)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/getLastLogId(File),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/openNewChannel(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/flush(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/addEntry(long, ByteBuffer)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/readEntry(long, long, long)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/getChannelForLogId(long),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/findFile(long),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/testAndClearSomethingWritten(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/extractLedgersFromEntryLogs(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/shutdown(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,3
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/writeMasterKey(byte[]),commit c17dfb9aa2aeb6d3d1c6fa934dc9ef15bf6b5bc2 1320403604 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/readMasterKey(),commit c17dfb9aa2aeb6d3d1c6fa934dc9ef15bf6b5bc2 1320403604 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/size(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/read(ByteBuffer, long)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/readAbsolute(ByteBuffer, long)",commit c17dfb9aa2aeb6d3d1c6fa934dc9ef15bf6b5bc2 1320403604 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/close(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/write(ByteBuffer[], long)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/use(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/release(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java/getFile(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getPageSize(),commit 4049d4c2b115f81008ef7a3920fd9153ced2f53c 1321611485 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getEntriesPerPage(),commit 4049d4c2b115f81008ef7a3920fd9153ced2f53c 1321611485 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/putIntoTable(HashMap, LedgerEntryPage)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getFromTable(HashMap, Long, Long)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getLedgerEntryPage(Long, Long, boolean)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/putEntryOffset(long, long, long)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getEntryOffset(long, long)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getLedgerName(long),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/checkParents(File),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/pickDirs(File[]),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getFileInfo(Long, boolean)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,3
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/updatePage(LedgerEntryPage),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/flushLedger(boolean),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/compare(LedgerEntryPage, LedgerEntryPage)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/writeBuffers(Long, List, FileInfo, int, int)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/grabCleanPage(long, long)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,3
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getLastEntry(long),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/getActiveLedgers(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java/deleteLedger(long),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/setMasterKey(ByteBuffer),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/cmpMasterKey(ByteBuffer),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/getLedgerId(),commit 4d9f0c0ebe8614e0190c5df5bbd68c6fa1c05180 1321459552 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/incRef(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/decRef(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/getRefCnt(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/setFenced(),commit 4d9f0c0ebe8614e0190c5df5bbd68c6fa1c05180 1321459552 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/isFenced(),commit 4d9f0c0ebe8614e0190c5df5bbd68c6fa1c05180 1321459552 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/addEntry(ByteBuffer),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/readEntry(long),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java/close(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/toString(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/usePage(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/pin(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/unpin(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/isPinned(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/releasePage(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/checkPage(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/equals(Object),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/hashCode(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/setClean(int),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/isClean(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/setOffset(long, int)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getOffset(int),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/zeroPage(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/readPage(FileInfo),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getPageToWrite(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/setLedger(long),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getLedger(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getVersion(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/setFirstEntry(long),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getFirstEntry(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/inUse(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java/getLastEntry(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,2
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/force(boolean),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/lock(long, long, boolean)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/map(MapMode, long, long)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/position(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/position(long),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/read(ByteBuffer),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/read(ByteBuffer, long)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/read(ByteBuffer[], int, int)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/size(),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/transferFrom(ReadableByteChannel, long, long)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/transferTo(long, long, WritableByteChannel)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/truncate(long),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/tryLock(long, long, boolean)",commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java/write(ByteBuffer),commit e988271acee2c217209d5c7f52c07f6211257e97 1301553983 -----sp,1
